"Date","Price","Open","High","Low","Vol.","Change %"
"21-01-2021","356.75","365.00","365.60","354.00","1.01M","-1.56%"
"20-01-2021","362.40","358.25","364.40","356.45","791.20K","1.03%"
"19-01-2021","358.70","349.95","360.85","349.30","903.53K","1.83%"
"18-01-2021","352.25","362.00","362.10","341.00","956.31K","-2.14%"
"15-01-2021","359.95","360.50","368.00","357.35","1.03M","-0.32%"
"14-01-2021","361.10","364.60","364.60","353.00","949.11K","-0.74%"
"13-01-2021","363.80","367.30","369.90","355.10","1.17M","-0.57%"
"12-01-2021","365.90","365.30","370.00","364.00","1.17M","0.18%"
"11-01-2021","365.25","372.00","373.50","361.50","1.29M","-1.11%"
"08-01-2021","369.35","371.45","374.50","367.00","1.13M","0.31%"
"07-01-2021","368.20","371.50","375.00","366.00","1.27M","-0.32%"
"06-01-2021","369.40","375.40","377.00","365.60","1.21M","-1.14%"
"05-01-2021","373.65","375.40","376.80","371.00","1.27M","-0.52%"
"04-01-2021","375.60","380.05","381.80","371.00","1.28M","-0.32%"
"01-01-2021","376.80","377.40","379.80","374.10","785.86K","0.32%"
"31-12-2020","375.60","380.10","384.40","373.55","1.08M","-1.26%"
"30-12-2020","380.40","377.00","389.65","369.50","3.64M","1.55%"
"29-12-2020","374.60","371.80","378.30","364.15","1.67M","1.55%"
"28-12-2020","368.90","370.10","377.65","365.00","2.62M","0.09%"
"24-12-2020","368.55","371.25","373.00","364.00","2.63M","-0.35%"
"23-12-2020","369.85","361.70","371.95","359.00","2.55M","3.15%"
"22-12-2020","358.55","327.00","361.80","315.00","2.55M","6.66%"
"21-12-2020","336.15","359.75","365.75","322.30","2.32M","-7.10%"
"18-12-2020","361.85","363.70","364.05","353.00","1.17M","-0.10%"
"17-12-2020","362.20","360.65","373.20","360.05","3.66M","0.93%"
"16-12-2020","358.85","356.50","361.25","355.15","1.30M","0.04%"
"15-12-2020","358.70","359.00","363.90","352.00","1.57M","-0.07%"
"14-12-2020","358.95","360.00","362.30","354.50","1.27M","0.07%"
"11-12-2020","358.70","355.20","363.40","351.25","2.05M","0.99%"
"10-12-2020","355.20","364.70","364.70","352.00","1.89M","-2.11%"
"09-12-2020","362.85","355.95","368.95","350.10","2.32M","2.15%"
"08-12-2020","355.20","362.65","364.35","353.00","2.37M","-1.50%"
"07-12-2020","360.60","362.10","374.30","358.05","3.20M","0.57%"
"04-12-2020","358.55","364.00","367.50","355.50","3.22M","-1.51%"
"03-12-2020","364.05","376.00","382.65","361.50","7.07M","-2.67%"
"02-12-2020","374.05","361.00","377.95","354.00","8.41M","3.63%"
"01-12-2020","360.95","358.90","371.80","350.00","8.80M","3.75%"
"27-11-2020","347.90","318.70","347.95","317.95","14.90M","9.97%"
"26-11-2020","316.35","323.50","324.25","311.95","2.64M","-2.63%"
"25-11-2020","324.90","341.60","341.60","320.00","3.55M","-4.09%"
"24-11-2020","338.75","348.80","350.95","337.50","2.21M","-1.71%"
"23-11-2020","344.65","358.00","365.75","340.95","4.88M","-0.17%"
"20-11-2020","345.25","333.90","361.50","325.20","11.80M","4.09%"
"19-11-2020","331.70","340.35","346.80","312.15","9.49M","-3.88%"
"18-11-2020","345.10","302.45","350.75","301.00","26.65M","18.06%"
"17-11-2020","292.30","246.25","293.60","242.55","15.14M","20.24%"
"13-11-2020","243.10","241.45","245.00","238.05","1.38M","1.06%"
